"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"NA 8816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,3.84,0,0
"NA 8839",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,75,0,0
"Fireside",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,119,0,136,0,0
"Otherside",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,121,0,121,0,0
"Organ Rock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0
"Pueblo Grande",0,0,0,0,0,0,0,0,0,0,0,0,0,2465.14,0,0,0,0,0,0,0,0,0,0,0,0
"Burnt Corn GH",0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19,0,2.49,0,0
"Porcupine Wash",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,553,0,0
"Pinon Ruin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93,0,101.86,0,0
"Thief Site",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,147,0,0
"AZ E:6:1",0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Ford House",0,0,0,0,0,0,0,0,0,0,0,0,8.05,0,0,0,0,0,0,0,0,11.25,0,4,0,0
"Chavez Pass Pueblo",0,0,0,26.19,22,0,17.63,0,3,5.79,0,0,0,0,0,0,0,0.9,0,0,0,13,0,20,24,0
"Montezuma Well (E.Rim)",0,0,0,0,0,0,0.72,0,0,0,0,0,0,0,0,0,0,0,0.97,0,0,0,0,7,0,0
"Jackson Ranch Ruin",0,0,0,0,2,0,1.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0.27,0
"Clear Creek Ruin",0,0,0,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0.4,0
"Honanki",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,0,0,0,0.78,0,3.91,0,0
"Pollack Ruin",0,0,0,20,5,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,0,232,0,0
"Zanardelli Site",0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,0,1.23,0,0,0,0,340.38,0,0,0
"Gibbon  Springs",0,0,0,1.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1911.1,0,0,0
"Cherry Creek Mound",0,0,0,2.87,3.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"University Indian Ruins",0,0,0,0,0,0,0,0,0,0,0,4.42,0,0,0,0,0,0,0,1.04,0,0,1350.42,0,0,0
"Pueblo Blanco",0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,3.72,0,0,0,0,0,0,0,0
"Sunset Mesa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0
"Pueblo Salado",0,0,0,0,0,0,0,0,0,0,5.21,0,0,159.21,0,0.53,0,10.16,0,0,0,0,28.57,0,0,0
"White Rincon",0,0,0,0.29,0,0,0,0,0,0,0,0,0,0.27,0,0,0,0,0,0,0,0,98.54,0,0,0
